timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1537689404759,40,get_login,200,OK,login_make_logout 1-1,text,true,,1371,130,1,4,http://eds_university.eleks.com/login,40,0,21
1537689405006,42,get_login,200,OK,login_logout 4-8,text,true,,1371,130,9,16,http://eds_university.eleks.com/login,42,0,24
1537689405621,42,get_login,200,OK,login_logout 4-26,text,true,,1371,130,27,46,http://eds_university.eleks.com/login,42,0,20
1537689413408,39,get_login,200,OK,login_logout 4-3,text,true,,1371,130,30,50,http://eds_university.eleks.com/login,39,0,17
1537689413407,40,get_login,200,OK,login_logout 4-2,text,true,,1371,130,30,50,http://eds_university.eleks.com/login,40,0,18
1537689413408,41,get_login,200,OK,login_make_delete_logout 2-2,text,true,,1371,130,10,50,http://eds_university.eleks.com/login,41,0,18
1537689413410,39,get_login,200,OK,login_make_delete_logout 2-1,text,true,,1371,130,10,50,http://eds_university.eleks.com/login,39,0,17
1537689413409,44,get_login,200,OK,login_logout 4-1,text,true,,1371,130,30,50,http://eds_university.eleks.com/login,44,0,16
1537689413409,46,get_login,200,OK,login_logout 4-4,text,true,,1371,130,30,50,http://eds_university.eleks.com/login,46,0,17
1537689413406,132,post_login,200,OK,login_make_logout 1-1,text,true,,463,278,5,50,http://193.105.219.194:8080/api/gds-release/v1/auth/login,132,0,18
1537689413539,35,get_login,200,OK,login_logout 4-6,text,true,,1371,130,30,50,http://eds_university.eleks.com/login,35,0,17
1537689414039,36,get_login,200,OK,login_logout 4-9,text,true,,1371,130,30,50,http://eds_university.eleks.com/login,36,0,18
1537689414075,130,post_login,200,OK,login_logout 4-9,text,true,,463,278,30,50,http://193.105.219.194:8080/api/gds-release/v1/auth/login,130,0,16
1537689414206,56,get_login,200,OK,login_logout 4-7,text,true,,1371,130,30,50,http://eds_university.eleks.com/login,55,0,22
1537689413538,1107,get_product_list,200,OK,login_make_logout 1-1,text,true,,1113711,246,5,50,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,552,0,0
1537689414666,36,get_login,200,OK,login_logout 4-10,text,true,,1371,130,30,50,http://eds_university.eleks.com/login,36,0,17
1537689414262,440,post_login,200,OK,login_logout 4-7,text,true,,463,278,30,50,http://193.105.219.194:8080/api/gds-release/v1/auth/login,440,0,26
1537689414668,36,get_login,200,OK,login_make_delete_logout 2-5,text,true,,1371,130,10,50,http://eds_university.eleks.com/login,36,0,16
1537689414664,39,get_product_family,200,OK,login_make_logout 1-1,text,true,,8609,200,5,50,http://193.105.219.194:8080/api/gds-release/v1/product-family/,39,0,0
1537689414667,38,get_login,200,OK,login_logout 4-12,text,true,,1371,130,30,50,http://eds_university.eleks.com/login,38,0,17
1537689414667,39,get_login,200,OK,login_logout 4-11,text,true,,1371,130,30,50,http://eds_university.eleks.com/login,39,0,18
